Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description
Settlement,Brisbane,,-27.47045,153.02603,,11.17241,,World Update 7
Settlement,Melbourne,,-37.81363,144.96306,,11.43444,,World Update 7
Settlement,Hobart,,-42.88261,147.32571,,15.47598,,World Update 7
Settlement,Adelaide,,-34.92850,138.60074,,7.95483,,World Update 7
Settlement,Perth,,-31.95231,115.86131,,-1.97617,,World Update 7
Settlement,Cairns,,-16.92035,145.77095,,6.51278,,World Update 7
Settlement,Darwin,,-12.46449,130.84320,,2.37939,,World Update 7
Settlement,Townsville,,-19.25896,146.81696,,7.29595,,World Update 7
Settlement,Mackay,,-21.14250,149.18214,,8.37728,,World Update 7
Settlement,Bunbury,,-33.32564,115.63965,,-2.37318,,World Update 7
Settlement,Utrecht,,52.09074,5.12142,,2.26071,,GOTY Edition
Settlement,Nottingham,,52.95478,-1.15811,,-0.14666,,GOTY Edition
Settlement,Eastbourne,,50.76804,0.29047,,0.59642,,GOTY Edition
Settlement,Derby,,52.92253,-1.47462,,-0.24997,,GOTY Edition
Settlement,Brighton,,50.82253,-0.13716,,0.37763,,GOTY Edition
Settlement,Freiburg im Breisgau,,47.99901,7.84210,,2.85945,,GOTY Edition
Settlement,Helsinki,,60.16986,24.93838,,9.44393,,GOTY Edition
Settlement,Bielefeld,,52.03023,8.53247,,3.06747,,World Update 6
Settlement,Brunswick,,52.26888,10.52677,,3.66533,,World Update 6
Settlement,Frankfurt am Main,,50.11092,8.68213,,3.01516,,World Update 6
Settlement,Konstanz,,47.67795,9.17324,,3.23032,,World Update 6
Settlement,Wuppertal,,51.25621,7.15076,,2.82600,,World Update 6
Settlement,Graz,,47.07071,15.43950,,4.57106,,World Update 6
Settlement,Vienna,,48.20818,16.37382,,4.89549,,World Update 6
Settlement,Basel,,47.55960,7.58858,,2.77104,,World Update 6
Settlement,Paris,,48.85661,2.35222,,1.34809,,World Update 4
Settlement,Amsterdam,,52.36757,4.90414,,1.80257,,World Update 4
Settlement,Cambridge,,52.20534,0.12182,,0.58984,,World Update 3
Settlement,Oxford,,51.75202,-1.25773,,-0.08775,,World Update 3
Settlement,Birmingham,,52.48624,-1.89040,,-0.21043,,World Update 3
Settlement,London,,51.50735,-0.12776,,0.23943,,World Update 3
Settlement,Bristol,,51.45451,-2.58791,,-0.44557,,World Update 3
Settlement,Tokyo,,35.68040,139.76901,,-7.74730,,World Update 1
Settlement,Sendai,,38.26820,140.86942,,-8.46697,,World Update 1
Settlement,Takamatsu,,34.34254,134.04654,,-7.88370,,World Update 1
Settlement,Tokushima,,34.07037,134.55495,,-7.81218,,World Update 1
Settlement,Utsunomiya,,36.55507,139.88261,,-8.03998,,World Update 1
Settlement,Yokohama,,35.44367,139.63797,,-7.68719,,World Update 1
Settlement,Miami,,25.76168,-80.19179,,-6.87757,,
Settlement,Abington,,40.11983,-75.12535,,-11.66063,,
Settlement,Agua Caliente,,38.32408,-122.48804,,13.37816,,
Settlement,Albuquerque,,35.08438,-106.65042,,8.07130,,
Settlement,Amarillo,,35.22200,-101.83130,,5.58828,,
Settlement,Anaheim,,33.83659,-117.91430,,11.55994,,
Settlement,Ann Arbor,,42.28083,-83.74303,,-7.25969,,
Settlement,Anniston,,33.65982,-85.83163,,-4.50157,,
Settlement,Anthem,,33.86523,-112.13573,,10.10234,,
Settlement,Antioch,,38.00492,-121.80579,,13.09188,,
Settlement,Appleton,,44.26193,-88.41538,,-3.65172,,
Settlement,Atlanta,,33.74900,-84.38799,,-5.29697,,
Settlement,Auburn,,32.60986,-85.48078,,-4.45784,,
Settlement,Augusta,,44.31062,-69.77949,,-15.35312,,
Settlement,Austin,,30.26715,-97.74306,,3.27061,,
Settlement,Bakersfield,,35.37329,-119.01871,,12.24538,,
Settlement,Baltimore,,39.29039,-76.61219,,-11.13843,,
Settlement,Baton Rouge,,30.45147,-91.18715,,-0.27560,,
Settlement,Beaverton,,45.48888,-122.80138,,14.97827,,
Settlement,Bernalillo,,35.30004,-106.55114,,8.14041,,
Settlement,Birmingham,,33.51859,-86.81036,,-3.87005,,
Settlement,Bismarck,,46.80833,-100.78374,,5.68412,,
Settlement,Boston,,42.36008,-71.05888,,-14.07499,,
Settlement,Boulder,,40.01498,-105.27055,,8.28623,,
Settlement,Brandon,,27.93780,-82.28593,,-5.95415,,
Settlement,Bridgeport,,41.17923,-73.18944,,-12.91582,,
Settlement,Brockton,,42.08344,-71.01838,,-13.90117,,
Settlement,Brownsville,,25.90175,-97.49748,,3.35113,,
Settlement,Brunswick,,31.14995,-81.49149,,-6.87659,,
Settlement,Calgary,,51.04473,-114.07188,,14.16562,,
Settlement,Carbondale,,37.72727,-89.21675,,-2.27299,,
Settlement,Carefree,,33.82226,-111.91821,,9.95038,,
Settlement,Carson City,,39.16380,-119.76740,,12.96581,,
Settlement,Castro Valley,,37.69550,-122.07387,,13.21386,,
Settlement,Catalina Foothills,,32.29785,-110.91870,,9.25327,,
Settlement,Champaign,,40.11642,-88.24339,,-3.00878,,
Settlement,Cheyenne,,41.13998,-104.82024,,7.62452,,
Settlement,Chicago,,41.87811,-87.62980,,-4.05340,,
Settlement,Chico,,39.72849,-121.83748,,13.54041,,
Settlement,Cincinnati,,39.10312,-84.51202,,-5.96290,,
Settlement,Clermont,,28.54944,-81.77286,,-6.51964,,
Settlement,Cleveland,,41.49932,-81.69436,,-8.44389,,
Settlement,Colorado Springs,,38.83388,-104.82137,,7.65758,,
Settlement,Columbia,,38.95171,-92.33408,,-0.20491,,
Settlement,Columbia,,34.00071,-81.03481,,-6.96626,,
Settlement,Columbus,,32.46098,-84.98771,,-5.12655,,
Settlement,Columbus,,39.96117,-82.99879,,-7.17312,,
Settlement,Concord,,37.97798,-122.03107,,13.23094,,
Settlement,Concord,,43.20814,-71.53757,,-14.33022,,
Settlement,Corpus Christi,,27.80058,-97.39638,,3.29994,,
Settlement,Darwin,,-12.46344,130.84564,,2.37941,,
Settlement,Davis,,38.54491,-121.74052,,13.26203,,
Settlement,Dayton,,39.75895,-84.19160,,-6.16917,,
Settlement,Daytona Beach,,29.21082,-81.02283,,-6.45226,,
Settlement,Decatur,,34.60593,-86.98335,,-3.92334,,
Settlement,Deltona,,28.90055,-81.26367,,-6.70299,,
Settlement,Denver,,39.73923,-104.99025,,7.75129,,
Settlement,Des Moines,,41.58683,-93.62496,,0.50054,,
Settlement,Desert Hot Springs,,33.96112,-116.50168,,11.29245,,
Settlement,Detroit,,42.33143,-83.04575,,-7.08440,,
Settlement,Dothan,,31.22323,-85.39049,,-4.25899,,
Settlement,Dover,,39.15817,-75.52437,,-11.63243,,
Settlement,Downey,,33.94011,-118.13316,,11.66417,,
Settlement,Drexel Heights,,32.14119,-111.02843,,9.70975,,
Settlement,Durham,,35.99403,-78.89862,,-9.17521,,
Settlement,Edison,,40.51871,-74.41209,,-12.39682,,
Settlement,Edmonton,,53.54612,-113.49382,,14.11579,,
Settlement,El Paso,,31.76188,-106.48502,,7.76672,,
Settlement,Elk Grove,,38.40880,-121.37162,,13.23255,,
Settlement,Everett,,47.97898,-122.20208,,15.51358,,
Settlement,Fairfield,,38.24920,-122.04051,,13.39735,,
Settlement,Fargo,,46.87719,-96.78980,,2.69839,,
Settlement,Farmington,,44.64024,-93.14355,,0.19986,,
Settlement,Flagler Beach,,29.47498,-81.12701,,-6.64822,,
Settlement,Flagstaff,,35.19828,-111.65130,,10.04449,,
Settlement,Fond du Lac,,43.77304,-88.44705,,-3.63615,,
Settlement,Fort Lauderdale,,26.12244,-80.13731,,-6.66276,,
Settlement,Fort Myers,,26.64063,-81.87231,,-6.22182,,
Settlement,Fort Wayne,,41.07927,-85.13935,,-5.29436,,
Settlement,Fort Worth,,32.75549,-97.33076,,3.29224,,
Settlement,Foster City,,37.55855,-122.27108,,13.20658,,
Settlement,Fremont,,37.54854,-121.98859,,13.05375,,
Settlement,Fresno,,36.73780,-119.78712,,12.52878,,
Settlement,Gainesville,,29.65163,-82.32483,,-6.08792,,
Settlement,Gainesville,,34.29788,-83.82407,,-6.08233,,
Settlement,Galveston,,29.30135,-94.79770,,1.54476,,
Settlement,Glendale,,34.14251,-118.25507,,11.80561,,
Settlement,Goose Creek,,32.98101,-80.03259,,-8.03011,,
Settlement,Green Bay,,44.51332,-88.01330,,-3.73392,,
Settlement,Greensboro,,36.07264,-79.79198,,-8.97171,,
Settlement,Greenville,,34.85262,-82.39401,,-6.78062,,
Settlement,Griffin,,33.24678,-84.26409,,-5.11882,,
Settlement,Gulf Breeze,,30.35714,-87.16386,,-2.82755,,
Settlement,Gulfport,,30.36742,-89.09282,,-1.50918,,
Settlement,Hamilton,,43.25572,-79.87110,,-10.23912,,
Settlement,Hanford,,36.32745,-119.64568,,12.40641,,
Settlement,Harrisburg,,40.27319,-76.88670,,-11.39860,,
Settlement,Hollister,,36.85246,-121.40160,,12.88474,,
Settlement,Hollywood,,34.09281,-118.32866,,11.78852,,
Settlement,Houston,,29.76043,-95.36980,,2.14860,,
Settlement,Huntsville,,34.73037,-86.58611,,-3.98101,,
Settlement,Immokalee,,26.41853,-81.41740,,-6.24868,,
Settlement,Indianapolis,,39.76840,-86.15807,,-4.73638,,
Settlement,Inglewood,,33.96168,-118.35313,,11.70650,,
Settlement,Jackson,,32.29876,-90.18481,,-0.98245,,
Settlement,Jacksonville,,30.33218,-81.65565,,-6.80563,,
Settlement,Janesville,,42.68279,-89.01872,,-2.82516,,
Settlement,Jefferson City,,38.57670,-92.17352,,-0.11306,,
Settlement,Kankakee,,41.12003,-87.86115,,-4.23465,,
Settlement,Kansas City,,39.09973,-94.57857,,1.28169,,
Settlement,Key West,,24.55506,-81.77998,,-5.99041,,
Settlement,Kingwood,,30.05003,-95.18448,,2.34943,,
Settlement,Kokomo,,40.48643,-86.13361,,-4.68950,,
Settlement,La Habra,,33.93186,-117.94614,,11.60170,,
Settlement,LaGrange,,33.03622,-85.03224,,-4.21250,,
Settlement,Lake City,,30.18968,-82.63929,,-6.17684,,
Settlement,Lake Havasu City,,34.48390,-114.32246,,10.87521,,
Settlement,Lakeland,,28.03946,-81.94981,,-6.72536,,
Settlement,Laredo,,27.50356,-99.50755,,4.36030,,
Settlement,Las Cruces,,32.31994,-106.76366,,7.79052,,
Settlement,Las Vegas,,36.16994,-115.13983,,11.51247,,
Settlement,Laurel,,31.69405,-89.13062,,-1.78194,,
Settlement,Leesburg,,28.81082,-81.87786,,-6.42447,,
Settlement,Lincoln,,40.81362,-96.70260,,2.78449,,
Settlement,Little Rock,,34.74648,-92.28960,,0.05779,,
Settlement,Lodi,,38.13415,-121.27222,,13.19898,,
Settlement,London,,42.98492,-81.24528,,-8.90218,,
Settlement,Long Beach,,33.77005,-118.19374,,11.66255,,
Settlement,Longview,,32.50070,-94.74049,,1.52037,,
Settlement,Los Angeles,,34.05223,-118.24368,,11.79869,,
Settlement,Los Gatos,,37.23581,-121.96237,,12.93708,,
Settlement,Los Lunas,,34.80617,-106.73336,,8.15765,,
Settlement,Louisville,,38.25267,-85.75845,,-5.21810,,
Settlement,Lowell,,42.63342,-71.31617,,-14.20670,,
Settlement,Lubbock,,33.57786,-101.85516,,5.62713,,
Settlement,Macon,,32.84069,-83.63240,,-5.75359,,
Settlement,Madera,,36.96133,-120.06071,,12.66566,,
Settlement,Madison,,43.07305,-89.40123,,-2.66492,,
Settlement,Manteca,,37.79743,-121.21605,,13.07023,,
Settlement,Marco Island,,25.93974,-81.70753,,-6.08154,,
Settlement,Marietta,,33.95260,-84.54993,,-5.25390,,
Settlement,Marion,,37.73061,-88.93313,,-2.75674,,
Settlement,McAllen,,26.20341,-98.23001,,3.93478,,
Settlement,McCandless,,40.58808,-80.03114,,-8.99854,,
Settlement,Memphis,,35.14954,-90.04898,,-1.04505,,
Settlement,Mesa,,33.41518,-111.83147,,9.78173,,
Settlement,Michigan City,,41.70754,-86.89503,,-4.73806,,
Settlement,Middletown,,40.39680,-74.09160,,-12.33019,,
Settlement,Midland,,31.99734,-102.07791,,5.80639,,
Settlement,Milwaukee,,43.03890,-87.90647,,-4.58285,,
Settlement,Minneapolis,,44.97775,-93.26501,,0.07673,,
Settlement,Mobile,,30.69537,-88.03989,,-2.38216,,
Settlement,Modesto,,37.63910,-120.99688,,12.91235,,
Settlement,Monroe,,32.50931,-92.11930,,0.23184,,
Settlement,Montgomery,,32.37922,-86.30774,,-3.72813,,
Settlement,Montreal,,45.50169,-73.56725,,-14.04363,,
Settlement,Moreno Valley,,33.94247,-117.22968,,11.46628,,
Settlement,Nashville,,36.16266,-86.78160,,-4.29899,,
Settlement,New Orleans,,29.95107,-90.07153,,-1.14854,,
Settlement,New Smyrna Beach,,29.02582,-80.92700,,-7.46559,,
Settlement,New York,,40.71278,-74.00597,,-12.53858,,
Settlement,Newark,,40.73566,-74.17236,,-12.51527,,
Settlement,Niagara Falls,,43.09621,-79.03773,,-9.84795,,
Settlement,Norfolk,,36.85077,-76.28587,,-10.77018,,
Settlement,Norristown,,40.12150,-75.33990,,-11.74637,,
Settlement,Ocala,,29.18720,-82.14009,,-5.85446,,
Settlement,Oceanside,,33.19587,-117.37949,,11.38891,,
Settlement,Okeechobee,,27.24393,-80.82978,,-7.08124,,
Settlement,Oklahoma City,,35.46756,-97.51643,,3.36381,,
Settlement,Omaha,,41.25654,-95.93450,,1.82213,,
Settlement,Orange Park,,30.16607,-81.70648,,-6.83738,,
Settlement,Orlando,,28.53834,-81.37923,,-6.54284,,
Settlement,Oro Valley,,32.39091,-110.96649,,9.28907,,
Settlement,Oshkosh,,44.02471,-88.54261,,-3.68063,,
Settlement,Ottawa,,45.42153,-75.69719,,-13.03684,,
Settlement,Oxnard,,34.19751,-119.17706,,12.01729,,
Settlement,Pace,,30.59936,-87.16108,,-2.95922,,
Settlement,Palatka,,29.64858,-81.63758,,-6.65719,,
Settlement,Palm Bay,,28.03446,-80.58866,,-7.13301,,
Settlement,Palm Beach,,26.70562,-80.03643,,-7.02348,,
Settlement,Palm Springs,,33.83030,-116.54530,,11.27455,,
Settlement,Palmdale,,34.57943,-118.11646,,11.84421,,
Settlement,Palmetto Bay,,25.62177,-80.32478,,-6.78745,,
Settlement,Panama City,,30.15881,-85.66020,,-4.25028,,
Settlement,Peachtree City,,33.39685,-84.59634,,-5.23035,,
Settlement,Pensacola,,30.42131,-87.21691,,-2.86754,,
Settlement,Peoria,,33.58060,-112.23738,,10.12471,,
Settlement,Perris,,33.78252,-117.22865,,11.45373,,
Settlement,Philadelphia,,39.95258,-75.16522,,-11.93460,,
Settlement,Phoenix,,33.44838,-112.07404,,10.12915,,
Settlement,Pierre,,44.36679,-100.35375,,5.52074,,
Settlement,Pittsburgh,,40.44062,-79.99589,,-9.59248,,
Settlement,Poinciana,,28.15737,-81.47093,,-6.47400,,
Settlement,Port Charlotte,,26.97617,-82.09064,,-5.95448,,
Settlement,Port St. Lucie,,27.27305,-80.35822,,-6.94286,,
Settlement,Porterville,,36.06523,-119.01677,,12.44499,,
Settlement,Portland,,43.65910,-70.25682,,-14.83763,,
Settlement,Portland,,45.50511,-122.67503,,14.98322,,
Settlement,Prescott,,34.54002,-112.46851,,10.29294,,
Settlement,Providence,,41.82399,-71.41283,,-14.02822,,
Settlement,Quebec City,,46.81388,-71.20798,,-15.36345,,
Settlement,Raleigh,,35.77959,-78.63818,,-9.33049,,
Settlement,Redding,,40.58654,-122.39168,,13.86969,,
Settlement,Reedley,,36.59634,-119.45040,,12.46942,,
Settlement,Reno,,39.52963,-119.81380,,13.08326,,
Settlement,Richmond,,37.93576,-122.34775,,13.27206,,
Settlement,Richmond,,37.54073,-77.43605,,-10.24642,,
Settlement,Riverdale,,33.57261,-84.41326,,-5.24671,,
Settlement,Rock Island,,41.50948,-90.57875,,-1.78302,,
Settlement,Roswell,,34.02324,-84.36156,,-5.20429,,
Settlement,Sacramento,,38.58157,-121.49440,,13.26522,,
Settlement,Salinas,,36.67774,-121.65550,,12.86854,,
Settlement,Salt Lake City,,40.76078,-111.89104,,11.03199,,
Settlement,San Antonio,,29.42412,-98.49363,,3.87233,,
Settlement,San Bernardino,,34.10835,-117.28976,,11.58692,,
Settlement,San Francisco,,37.77493,-122.41942,,13.25120,,
Settlement,San Jose,,37.33821,-121.88633,,12.97933,,
Settlement,San Tan Valley,,33.17730,-111.54683,,9.75206,,
Settlement,Santa Ana,,33.74547,-117.86765,,11.52069,,
Settlement,Santa Barbara,,34.42083,-119.69819,,12.02050,,
Settlement,Santa Clarita,,34.39166,-118.54259,,11.81838,,
Settlement,Santa Cruz,,36.97412,-122.03080,,13.01610,,
Settlement,Santa Fe,,35.68697,-105.93780,,7.81708,,
Settlement,Santa Monica,,34.01945,-118.49119,,11.74726,,
Settlement,Sarasota,,27.33644,-82.53065,,-5.76524,,
Settlement,Savannah,,32.08090,-81.09120,,-6.78470,,
Settlement,Sea Island,,31.18357,-81.34982,,-6.82529,,
Settlement,Sebring,,27.49559,-81.44091,,-6.39863,,
Settlement,Selma,,36.57079,-119.61208,,12.46970,,
Settlement,Sheboygan,,43.75083,-87.71453,,-4.31326,,
Settlement,Shreveport,,32.52515,-93.75018,,0.89015,,
Settlement,Simi Valley,,34.26945,-118.78148,,11.76970,,
Settlement,South Bend,,41.67635,-86.25199,,-4.92636,,
Settlement,Spanish Fort,,30.67147,-87.90189,,-2.82703,,
Settlement,Spring Hill,,28.48317,-82.53699,,-5.90655,,
Settlement,Springfield,,39.78172,-89.65015,,-2.30708,,
Settlement,Springfield,,42.10148,-72.58981,,-13.68230,,
Settlement,Springfield,,37.20896,-93.29230,,0.78264,,
Settlement,St. Louis,,38.62700,-90.19940,,-1.58676,,
Settlement,St. Marys,,30.74790,-81.57061,,-6.80580,,
Settlement,St. Petersburg,,27.76760,-82.64029,,-5.76753,,
Settlement,Stamford,,41.05343,-73.53873,,-12.99677,,
Settlement,Statesboro,,32.44879,-81.78316,,-7.07000,,
Settlement,Stockton,,37.95770,-121.29078,,13.10072,,
Settlement,Summerville,,33.01851,-80.17565,,-7.56236,,
Settlement,Syracuse,,43.04812,-76.14742,,-11.70802,,
Settlement,Tacoma,,47.25288,-122.44429,,15.39661,,
Settlement,Tallahassee,,30.43826,-84.28073,,-4.84675,,
Settlement,Tampa,,27.95057,-82.45718,,-5.86252,,
Settlement,Tarpon Springs,,28.14612,-82.75677,,-5.97699,,
Settlement,Temecula,,33.49364,-117.14836,,11.43141,,
Settlement,Tempe,,33.42551,-111.94000,,9.78065,,
Settlement,The Woodlands,,30.16582,-95.46127,,2.19595,,
Settlement,Titusville,,28.61222,-80.80756,,-7.11993,,
Settlement,Toledo,,41.65281,-83.53786,,-7.06440,,
Settlement,Toms River,,39.95374,-74.19794,,-12.41612,,
Settlement,Topeka,,39.04734,-95.67516,,1.91815,,
Settlement,Toronto,,43.65322,-79.38319,,-10.23497,,
Settlement,Trenton,,40.22058,-74.75972,,-12.40582,,
Settlement,Tucson,,32.22261,-110.97471,,9.21182,,
Settlement,Tulsa,,36.15398,-95.99277,,1.86003,,
Settlement,Ukiah,,39.15017,-123.20779,,13.74018,,
Settlement,Valdosta,,30.83270,-83.27849,,-5.65612,,
Settlement,Universal Studios Florida,,28.47897,-81.46851,,-6.52795,,
Settlement,Vancouver,,49.28273,-123.12074,,16.07850,,
Settlement,Venice,,27.09978,-82.45426,,-5.70582,,
Settlement,Victoria,,48.42842,-123.36565,,15.84727,,
Settlement,Visalia,,36.33023,-119.29206,,12.43024,,
Settlement,Walt Disney World Resort,,28.38523,-81.56387,,-6.52499,,
Settlement,Wichita,,37.68718,-97.33006,,3.34025,,
Settlement,Willingboro,,40.02885,-74.89165,,-12.47710,,
Settlement,Wilmington,,39.74466,-75.54839,,-11.72413,,
Settlement,Winnipeg,,49.89514,-97.13837,,2.95169,,
Settlement,Winston-Salem,,36.09986,-80.24422,,-8.07348,,
Settlement,Winter Haven,,28.02224,-81.73286,,-6.60522,,
Settlement,Winter Park,,28.60000,-81.33923,,-6.56540,,
Settlement,Worcester,,42.26259,-71.80229,,-14.16113,,
Settlement,Yuba City,,39.14045,-121.61691,,13.36967,,
Settlement,Yucaipa,,34.03363,-117.04308,,11.63009,,
Settlement,Yuma,,32.69265,-114.62769,,10.57280,,
Settlement,Zephyrhills,,28.23362,-82.18120,,-5.76788,,
Settlement,Aachen,,50.77534,6.08389,,2.42187,,
Settlement,Aix-en-Provence,,43.52974,5.44743,,2.26091,,
Settlement,Alicante,,38.34600,-0.49069,,0.82522,,
Settlement,Augsburg,,48.37054,10.89779,,3.50111,,
Settlement,Barcelona,,41.38506,2.17340,,1.57505,,
Settlement,Berlin,,52.52001,13.40495,,4.53574,,
Settlement,Metropolitan City of Bologna,,44.50051,11.30478,,3.57222,,
Settlement,Bordeaux,,44.83779,-0.57918,,0.68896,,
Settlement,Bremen,,53.07930,8.80169,,3.01012,,
Settlement,Brunswick,,52.26929,10.53020,,3.66491,,
Settlement,Brussels,,50.85034,4.35171,,1.86238,,
Settlement,Canberra,,-35.30750,149.12442,,12.60432,,
Settlement,Province of Catania,,37.50788,15.08308,,3.77649,,
Settlement,Copenhagen,,55.67610,12.56834,,4.48606,,
Settlement,Cordoba,,37.88818,-4.77938,,-0.28812,,
Settlement,Darwin City,,-12.46344,130.84564,,2.37941,,
Settlement,Dresden,,51.05041,13.73726,,4.36818,,
Settlement,Duisburg,,51.43441,6.76233,,2.47286,,
Settlement,Metropolitan City of Florence,,43.76792,11.25238,,3.50897,,
Settlement,Gold Coast,,-28.01424,153.40068,,11.32045,,
Settlement,Halle (Saale),,51.49698,11.96880,,3.91827,,
Settlement,Hamburg,,53.55109,9.99368,,3.42539,,
Settlement,Hobart,,-42.88214,147.32719,,15.47504,,
Settlement,Karlsruhe,,49.00689,8.40365,,3.06507,,
Settlement,Kiel,,54.32329,10.12277,,3.78892,,
Settlement,Leipzig,,51.33969,12.37307,,4.18980,,
Settlement,Lille,,50.62925,3.05726,,1.55806,,
Settlement,Madrid,,40.41677,-3.70379,,0.02278,,
Settlement,Magdeburg,,52.12053,11.62762,,3.92075,,
Settlement,Mannheim,,49.48746,8.46604,,3.04586,,
Settlement,Marbella,,36.51007,-4.88245,,-0.22970,,
Settlement,Marseille,,43.29648,5.36978,,2.27114,,
Settlement,Metropolitan City of Milan,,45.45863,9.18187,,3.19695,,
Settlement,Monchengladbach,,51.18046,6.44280,,2.49671,,
Settlement,Montpellier,,43.61077,3.87672,,1.81240,,
Settlement,Munich,,48.13512,11.58198,,3.73934,,
Settlement,Munster,,51.96067,7.62613,,2.81209,,
Settlement,Murcia,,37.99224,-1.13065,,0.66786,,
Settlement,Metropolitan City of Naples,,40.90197,14.33264,,3.86311,,
Settlement,Newcastle,,-32.92827,151.78168,,12.35480,,
Settlement,Nuremberg,,49.45210,11.07666,,3.82353,,
Settlement,Province of Palermo,,38.11569,13.36149,,3.54225,,
Settlement,Pamplona,,42.81253,-1.64577,,0.47712,,
Settlement,Rennes,,48.11727,-1.67779,,0.24793,,
Settlement,Rome,,41.90270,12.49623,,3.61331,,
Settlement,Rouen,,49.44323,1.09997,,1.05890,,
Settlement,Seville,,37.38909,-5.98446,,-0.47897,,
Settlement,Southampton,,50.90970,-1.40435,,-0.01720,,
Settlement,Strasbourg,,48.57341,7.75211,,2.78560,,
Settlement,Valencia,,39.46991,-0.37629,,0.82661,,
Settlement,Metropolitan City of Venice,,45.44147,12.31527,,3.83133,,
Settlement,Province of Verona,,45.44185,11.07353,,3.63040,,
Settlement,Vigo,,42.24060,-8.72073,,-1.56776,,
Settlement,Wollongong,,-34.42781,150.89307,,12.69516,,
Settlement,Zurich,,47.37689,8.54169,,3.00961,,
Settlement,New Haven,,41.30827,-72.92789,,-13.55065,,
Settlement,Portsmouth,,50.81977,-1.08798,,0.05384,,
Settlement,Oberhausen,,51.49633,6.86378,,2.48179,,
Airport,Aspen Pitkin County Airport,KASE,39.21963,-106.86433,,8.48847,,Standard
Airport,Bugalaga Airstrip,WX53,-3.62339,136.59659,,2.28377,,Standard
Airport,Chagual Airport,SPGL,-7.79757,-77.65128,,-3.40650,,Standard
Airport,Altiport Courchevel,LFLJ,45.39725,6.63479,,2.50126,,Standard
Airport,Donegal Airport,EIDL,55.03818,-8.34258,,-3.39746,,Standard
Airport,Kampala-Entebbe Airport,HUEN,0.04359,32.44180,,1.59124,,Standard
Airport,Madeira Airport,LPMA,32.69580,-16.77587,,-4.21134,,Standard
Airport,Gibraltar Airport,LXGB,36.15386,-5.34641,,-0.54068,,Standard
Airport,Innsbruck Airport,LOWI,47.25765,11.35131,,3.72505,,Standard
Airport,Los Angeles International Airport,KLAX,33.94159,-118.40853,,11.71367,,Standard
Airport,Tenzing Hillary Airport,VNLK,27.68729,86.73220,,0.20948,,Standard
Airport,Nanwalek Airport-Keb,KEB,59.35153,-151.92555,,14.66462,,Standard
Airport,John F. Kennedy International Airport,KJFK,40.64131,-73.77814,,-12.86019,,Standard
Airport,Orlando International Airport,KMCO,28.43116,-81.30808,,-6.50695,,Standard
Airport,Paris-Charles De Gaulle,LFPG,49.00969,2.54792,,1.35888,,Standard
